# ABI_EXPORT_STATUS.txt — the per-symbol status taxonomy of the exported
# lean_* C surface (plan §6.5; bead franken_lean-83r slice 1, completing the
# fln-lld census join).
#
# One `row` per Linkage::Export symbol of the generated census
# (fln-rt::abi::FUNCTION_CENSUS, extracted from the pinned lean.h): there is
# no unclassified symbol. `support` rows cover non-census symbols the pin's
# LEAN_MIMALLOC lean.h inlines link-demand from generated C (mimalloc.h twins).
# tools/structure-guard (FLN-STRUCT-026) enforces the join in BOTH directions:
#   * every census Export symbol has exactly one row; stale/unknown rows fail;
#   * every #[unsafe(export_name)] site in fln-unsafe-abi names a row with an
#     implemented status; an implemented row without a site is stale; an
#     Unsupported row with a site is a lie; export attrs anywhere else fail.
#
# Row grammar (five '|'-separated fields, all non-empty):
#   row <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
#   support <symbol> | <status> | <site> | <evidence> | <notes>
#   extern <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
# `extern` rows are runtime symbols OUTSIDE lean.h that generated C declares
# itself (the contracts/extern_census.tsv universe, surfaced by the stage0
# demand audit); they join export sites exactly like `row`s.
# status ∈ NativeSafe | RawPlatform | CompatWrapper | ReferenceSemanticAdapter
#          | Unsupported   (§6.5; Unsupported rows carry the owning bead)

schema fln-abi-export-status/1

row lean_alloc_object | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | membrane big path (object.cpp:355-376); OOM = INTERNAL PANIC like the pin
row lean_copy_byte_array | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_copy_expand_array | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_copy_expand_array_nonlinear | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_copy_float_array | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_cstr_to_int | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_cstr_to_nat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | decimal literal parse via owned bignum, normalized (object.cpp:1359-1361)
row lean_dbg_sleep | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_dbg_trace | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_dbg_trace_if_shared | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_dec_ref_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | death test + iterative deletion worklist (object.cpp:443-457)
row lean_decode_io_error | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_decode_uv_error | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_finalize_task_manager | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | drain, join pooled workers, wait out dedicated (object.cpp:1092-1097, 937-953; fln-3gv slice 3)
row lean_float32_frexp | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float32_isfinite | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float32_isinf | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float32_isnan | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float32_of_bits | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float32_once_cold | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_float32_scaleb | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float32_to_bits | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float32_to_string | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_array_data | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_array_mk | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_array_push | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_frexp | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_isfinite | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_isinf | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_isnan | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_of_bits | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_once_cold | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_float_scaleb | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_to_bits | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_float_to_string | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_free_object | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | category-dispatched release incl. mpz limb drop (object.cpp:271-280)
row lean_free_small | RawPlatform | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | sizeless release via the size prefix (lean.h:425-429 discipline)
row lean_inc_heartbeat | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | thread-local counting twin; calibrated heartbeat LAW is fln-8w8/G0-6
row lean_init_task_manager | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | stage0 gauntlet lane | LEAN_NUM_THREADS else hardware concurrency (object.cpp:1083-1085); the native manager port, task_manager.rs
row lean_init_task_manager_using | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | zero workers installs NO manager, exactly as upstream (object.cpp:1065-1072)
row lean_int16_of_big_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int32_of_big_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int64_of_big_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int8_of_big_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_add | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_div | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_div_exact | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_ediv | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_emod | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_eq | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_le | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_lt | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_mod | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_mul | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_neg | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_nonneg | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_int_big_sub | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_internal_panic | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_internal_panic_out_of_memory | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_internal_panic_overflow | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_internal_panic_rc_overflow | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_internal_panic_unreachable | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_io_cancel_core | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | finished no-op pre-manager; unfinished sets the flag under the lock (object.cpp:1254-1258); managerless unreachable arm refuses typed
row lean_io_check_canceled_core | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export task manager suite; stage0 gauntlet lane | current-task flag or shutdown; false off-worker and managerless (object.cpp:1246-1252)
row lean_io_get_task_state_core | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_io_mark_end_initialization | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_io_result_show_error | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_io_wait_any_core | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export io wrapper suite; stage0 gauntlet lane | first finished member in list order, block-and-rescan through the manager (object.cpp:1267-1269, 1014-1023); managerless finished-scan answers, empty-handed refuses typed
row lean_isize_of_big_int | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_mark_mt | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | iterative graph walk; the external arm applies m_foreach with the marking closure (7xe restriction closed, fln-3gv slice 5a)
row lean_mark_persistent | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | iterative graph walk; the external arm applies m_foreach with the marking closure (7xe restriction closed, fln-3gv slice 5a)
row lean_mk_array | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_ascii_string_unchecked | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | object.cpp:2022-2025
row lean_mk_io_error_already_exists | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_already_exists_file | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_eof | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_hardware_fault | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_illegal_operation | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_inappropriate_type | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_inappropriate_type_file | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_interrupted | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_invalid_argument | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_invalid_argument_file | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_no_file_or_directory | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_no_such_thing | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_no_such_thing_file | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_other_error | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_permission_denied | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_permission_denied_file | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_protocol_error | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_resource_busy | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_resource_exhausted | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_resource_exhausted_file | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_resource_vanished | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_time_expired | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_unsatisfied_constraints | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_error_unsupported_operation | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_io_user_error | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_mk_string | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | validate + lossy U+FFFD recovery, exact utf8.cpp semantics
row lean_mk_string_from_bytes | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | validate + lossy U+FFFD recovery, exact utf8.cpp semantics
row lean_mk_string_from_bytes_unchecked | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | utf8_n_strlen count, bug-compatible garbage stepping
row lean_mk_string_unchecked | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | object.cpp:1981-1987
row lean_name_eq | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | pointer/hash fast paths (cached hash at scalar offset 16) + exact prefix walk (object.cpp:2720-2750)
row lean_nat_big_add | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | borrowed operands, owned _core result (object.cpp:1383-1391) over fln-bignum
row lean_nat_big_div | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | x/0 returns the boxed-zero divisor; normalized (object.cpp:1423-1434)
row lean_nat_big_div_exact | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_big_eq | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | representation invariant: scalar never equals mpz (object.cpp:1470-1481)
row lean_nat_big_land | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_big_le | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | scalar <= big always, big <= scalar never (object.cpp:1483-1494)
row lean_nat_big_lor | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_big_lt | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | same invariant shape (object.cpp:1496-1507)
row lean_nat_big_mod | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | scalar%big = scalar; x%0 returns retained input (object.cpp:1455-1472)
row lean_nat_big_mul | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | scalar arms normalize (0 case), big*big stays mpz (object.cpp:1409-1417)
row lean_nat_big_shiftr | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_big_sub | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | truncated sub; scalar-minus-big = 0; normalized (object.cpp:1393-1408)
row lean_nat_big_succ | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_big_xor | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_gcd | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_log2 | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_nat_overflow_mul | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | scalar*scalar overflow path, normalized (object.cpp:1419-1421)
row lean_nat_pow | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export nat/name suites (tests.rs export_*); stage0 gauntlet differential | exponent must be scalar <= UINT_MAX else the pin's INTERNAL PANIC (object.cpp:1577-1586)
row lean_nat_shiftl | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_notify_assert | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export assert-format suite (tests.rs export_*); the G0-3 plugin import census demands it | prints debug.cpp:48-55's exact block then aborts; upstream's post-print C++ throw is a documented crash-path divergence. CENSUS NOTE: declared at lean.h:66 WITHOUT the LEAN_EXPORT token the extraction keys on — found from the object-file demand side
row lean_obj_once_cold | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export apply/once suites (tests.rs export_*); stage0 execution lane (marrow_stage0_gauntlet.sh) | simple-atomic once cell + mark_persistent (object.cpp:2842-2851); wait/notify replaced by spin+yield (same lock)
row lean_object_byte_size | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | object.cpp:242-259 branch structure kept literally
row lean_object_data_byte_size | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | object.cpp:237-259 branch structure kept literally
row lean_panic | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_panic_fn | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_panic_fn_borrowed | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | panic-path Lean-buffered stderr + backtrace stay with fln-3gv; messages go to the process stderr
row lean_register_external_class | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
